date,time,gold_price_24k,gold_price_22k,gold_price_18k,silver_price_g,silver_price_kg
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-19,05:29,12030.55,11019.99,9022.92,146.83,146828.08
2025-10-20,05:29,12026.96,11016.69,9020.22,146.93,146931.24
2025-10-20,05:29,12026.96,11016.69,9020.22,146.93,146931.24
2025-10-22,05:29,12316.43,11281.85,9237.32,148.21,148213.77
2025-10-24,05:29,11534.55,10565.65,8650.91,135.96,135961.06
2025-10-24,05:29,11534.55,10565.65,8650.91,135.96,135961.06
2025-10-24,05:29,11534.55,10565.65,8650.91,135.96,135961.06
